Activation_function,function
addition,arithmetic
AI_Platform ,artificial_intelligence
algorithm,function
algorithm,mathematics
algorithm,programming_language
algorithm_design,algorithm
algorithm_design,programming_language
Alternating_Least_Squares,matrix
anomaly_detection,probability
artificial_data_synthesis,classification
artificial_data_synthesis,data
artificial_intelligence,algorithm
artificial_intelligence,machine_learning
artificial_intelligence,programming_language
Attention_Mechanism,mathematics
Attention_Mechanism,Word_Vectors
back_propagation,algorithm
back_propagation,mathematics
Bagging,Bootstrap
base_formula,logarithms
basis,vector
bayes' theorem,probability
bayes' theorem,product_rule
bias,statistics
big_data,algorithm
big_data,database
binomial_theorem,probability
Bootstrap,data
Bootstrap,iterative_method
calculus,statistics
cartesian_plane,number_theory
Categorical_Features,data
Categorical_Features,mathematics
ceiling_analysis,data_analysis
ceiling_analysis,text_detection
classification,algorithm
classification,mathematics
classification,training_set
Cloud_Build,Containers
Cloud_Build,Google_Cloud
cluster_analysis,algorithm
cluster_analysis,programming_language
collaborative_filtering,algorithm
collaborative_filtering,filter
combination,probability
component,Containers
component,Deployment
component,vector
computation,mathematics
computation,matrix
condition,conditional_probability
conditional_probability,probability
Containers,Operating_system
Conventional_Q_Learning,mathematics
Conventional_Q_Learning,Q_learning
Convolution_Neural_Networks,algorithm
Convolution_Neural_Networks,Convolutional_Layer
Convolution_Neural_Networks,Pooling_Layer
Convolution_Neural_Networks,programming_language
Convolutional_Layer,Activation_function
Convolutional_Layer,filter
cost_function,function
cost_function,hypothesis_testing
cost_function,linear_regression
cost_function,training_set
Cronjobs,Kubernetes 
Cronjobs,Parallel_Algorithm
Cross-validation,data
data_compression,data
data_compression,dimensionality_reduction
data_frame,data
data_frame,database
database,index
database,list
database,read_and_write
decision_boundry,function
decision_boundry,mathematics
Decision_Tree,data_frame
Decision_Tree,function
deep_learning,programming_language
deep_learning,Tensorflow
Deep_neural_Network,neural_network
Deep_Q_Learning,function
Deep_Q_Learning,Q_learning
Deployment,Containers
Derivatives,mathematics
Detection_algorithm,algorithm
Detection_algorithm,Convolution_Neural_Networks
determinant,inverse_matrix
determinant,linear_independence
determinant,matrix
dictionary,data_type
dimensionality_reduction,mathematics
dimensionality_reduction,principal_component_analysis
dimensionality_reduction,singular_value_decomposition
dot_product,cosine
dot_product,Inner_product
Early_Stopping,gradient_descent
Early_Stopping,optimization
eigenbasis,eigenvalues_and_eigenvectors
eigenvalues_and_eigenvectors,vector
exponent,arithmetic
exponential_rate_of_growth,exponent
factorial,probability
Feature_Engineering,classification
Feature_Engineering,Text_synthesis
feature_extraction,algorithm
feature_extraction,programming_language
Feature_Interaction,prediction
Feature_Interaction,vector
Forward_Propagation,Activation_function
Forward_Propagation,algorithm
function,set_theory
gaussian_distribution,function
gaussian_distribution,mathematics
gaussian_elimination,matrix_transformation
Google_Cloud,Containers
gradient_descent,algorithm
gradient_descent,calculus
gradient_descent,function
gradient_descent,iterative_method
gram_schmidt,orthonormal
Hashing_trick,data_frame
Hashing_trick,function
Hierarchical_Features,classification
Hybrid,Collaborative_Filtering
Hybrid,model_selection
Hyperparameters,Activation_function
Hyperparameters,algorithm
Hyperparameters,cost_function
ide,python
Inner_Product,mathematics
Inner_Product,vector
Inner_Product,vector
input/output,print
integer,data_type 
integer,number_theory
inverse_matrix,matrix_transformation
k_means,algorithm
k_means,mathematics
kernel,function
kernel,mathematics
Kubeflow_pipeline,machine_learning
Kubeflow_pipeline,model_selection
Kubeflow_pipeline,programming_language
Kubernetes ,Containers
Learning_Model_Parameters,Word_Vectors
linear_algebra,matrix
linear_algebra,matrix
linear_algebra,vector
linear_algebra,vector
linear_independence,basis
linear_regression,algorithm
linear_regression,function
linear_regression,normal_equation
linear_regression,polynomial
linear_regression,supervised_learning
linear_regression,training_set
linear_system,basis
linear_system,matrix_transformation
list,data_type 
list,loop
logarithms,exponent
logistic_regression,decision_boundry
logistic_regression,mathematics
Long_Short-Term_Memory,neural_network
Long_Short-Term_Memory,Word_Vectors
loop,condition
machine_learning,artificial_intelligence
machine_learning,data
machine_learning,linear_algebra
machine_learning,probability
machine_learning,python
machine_learning,statistics
mapreduce,algorithm
mapreduce,mathematics
Mathematical_Model,data
Mathematical_Model,mathematics
matrix,mathematics
matrix,vector
Matrix_Factorization,data
Matrix_Factorization,mathematics
Matrix_Factorization,matrix
matrix_multiplication,arithmetic
matrix_multiplication,matrix
matrix_multiplication,vector
matrix_transformation,matrix
matrix_transformation,matrix
matrix_transformation,vector
mean_normalization,mathematics
mean_normalization,regularization
Model_Selection,Modulus
Model_Selection,optimization
modulus,arithmetic
Multilayer_perceptron,algorithm_design
Multilayer_perceptron,mathematics
Multinode_Distributed_Training,gradient_descent
Multinode_Distributed_Training,randomization
N-grams,Words_to_Vectors
natural_language_processing,Word_Vectors
Neural_Model,Word_Vectors
neural_network,algorithm
neural_network,calculus
neural_network,linear_algebra
neural_network,programming_language
nonlinear_system,calculus
nonlinear_system,linear_algebra
normal_equation,calculus
normal_equation,function
normal_equation,matrix
number_theory,set_theory
online_learning,algorithm
online_learning,gradient_descent
operating_system,read_and_write
optimization,calculus
optimization,polynomial
optimization,programming_language
orthogonal,orthonormal
orthonormal,basis
overfitting,algorithm
overfitting,linear_regression
overfitting,logistic_regression
pagerank,algorithm
pagerank,linear_algebra
parallel_algorithm,programming_language
permulation,probability
plot,programming_language
polynomial,calculus
polynomial,function
polynomial,mathematics
Pooling_Layer,filter
Positional_Encodings,Inner_Product
Positional_Encodings,mathematics
prediction,algorithm
principal_component_analysis,mathematics
principal_component_analysis,matrix
print,function
probability,mathematics
probability,notation
probability,set_theory
probability,statistics
product_rule,arithmetic
programming_language,mathematics
programming_language,Numpy
programming_language,python
projection,vector
python,function
python,library
PyTorch,mathematics
PyTorch,Python
Q_Learning,function
Random_Forest,Bagging
Random_Forest,Bootstrap
Random_Forest,Decision_Tree
randomization,calculus
randomization,probability
read_and_write,string
recommender_system,function
recommender_system,programming_language
Recurrent_Neural_Network,neural_network
Recurrent_Neural_Network,Word_Vectors
regularization,function
regularization,mathematics
Reinforcement_Learning,mathematics
Reinforcement_Learning,programming_language
remainder,arithmetic
Reproducible_dataset,data
Rolling_Update_Strategy,Deployment
Rolling_Update_Strategy,Google_Cloud
scripting_language,python
Second_Order,algorithm
Second_Order,mathematics
Sequence_Decoder,function
Sequence_Decoder,vector
Sequence_Encoder,function
Sequence_Encoder,vector
sigma_notation,arithmetic
Sigmoid_Function,function
simplification_rule,exponent
singular_value_decomposition,data
singular_value_decomposition,matrix
sliding_windows,text_detection
Softmax_Function,function
Softmax_Function,logistic_regression
Softmax_Function,Multilayer_perceptron
statistics,arithmetic
statistics,list
Stochastic_Boosting,Bagging
Stochastic_Boosting,gradient_descent
sum_rule,arithmetic
sum_rule,probability
supervised_learning,data
supervised_learning,function
support_vector_machine,data
support_vector_machine,kernel
support_vector_machine,mathematics
support_vector_machine,programming_language
tangent_lines,function
Tensorflow,programming_language
testing_set,data
text_detection,algorithm
Text_synthesis,neural_network
Text_synthesis,Word_Vectors
Topic_Modeling,matrix
Topic_Modeling,probability
Topic_Modeling,Unsupervised_learning
Train_Model,data
Train_Model,programming_language
training_set,data
Transfer_Learning,machine_learning
Transformer,Attention_Mechanism
Transformer,Positional_Encodings
Transformer,Sequence_Encoder
Tune_Model,mathematics
Tune_Model,programming_language
tuple,data_type 
unsupervised_learning,algorithm
unsupervised_learning,cluster_analysis
unsupervised_learning,data
unsupervised_learning,supervised_learning
validation_set,data
variance,statistics
vector,parameters
Vectorization,Numpy
Vectorization,Python
Vectorization,vector
visualization,database
visualization,programming_language
Word_Vectors,mathematics
Word_Vectors,vector
Words_to_Vectors,vector
