0,70
1,7
2,9
3,70
3,106
3,144
4,3
4,144
5,107
6,142
8,24
8,41
9,3
9,103
9,144
10,106
10,194
11,3
11,106
12,19
13,99
14,191
15,142
15,143
16,170
17,3
17,46
18,142
19,41
19,87
20,170
21,123
22,41
22,106
23,42
23,179
24,3
24,106
24,183
25,33
25,73
26,3
26,144
27,3
27,68
28,142
29,33
29,52
29,191
30,106
30,107
31,32
32,142
33,126
34,106
34,148
35,3
35,36
35,137
35,144
36,0
36,68
38,70
38,80
38,96
38,183
39,91
39,132
43,41
43,57
44,41
44,46
46,82
46,98
46,151
48,44
48,70
49,144
49,177
50,119
51,70
51,148
52,33
53,106
54,3
54,35
55,86
55,95
55,107
56,45
57,106
57,140
57,167
58,37
58,83
59,74
59,127
60,61
61,191
62,7
63,62
64,142
65,24
65,180
66,3
66,144
67,139
67,191
69,0
69,3
70,163
71,70
71,106
72,109
73,33
74,3
74,20
74,70
74,87
75,129
76,44
76,70
77,24
78,27
78,111
79,0
79,3
79,38
81,146
83,106
83,191
83,191
85,45
85,123
86,109
88,3
88,106
89,70
89,106
90,103
90,111
90,144
91,33
92,194
94,107
94,107
94,191
94,191
95,14
96,3
96,70
96,121
96,136
96,174
96,183
97,14
97,109
98,45
98,101
99,62
100,106
101,31
103,9
103,41
103,94
103,142
103,146
103,170
104,3
104,106
105,41
105,106
107,106
107,191
108,41
108,106
108,107
115,7
115,107
115,191
109,107
109,107
109,191
110,106
110,154
111,112
111,127
112,7
113,4
113,106
114,74
114,150
117,194
118,194
119,3
119,20
119,94
119,144
120,20
120,94
121,20
121,70
121,107
123,163
125,3
125,74
126,151
127,20
127,136
127,144
128,129
129,14
130,3
130,96
130,100
131,3
131,94
132,144
134,142
135,144
136,20
136,70
136,106
137,68
138,83
138,106
139,3
140,106
140,107
141,70
142,106
142,122
142,163
142,170
143,7
144,106
144,124
144,146
145,191
146,70
146,93
147,106
147,146
148,70
149,12
149,19
149,48
150,20
150,142
151,172
152,70
152,144
153,119
153,194
154,70
154,106
155,106
155,144
156,7
157,41
158,52
158,73
159,146
160,3
160,106
161,70
161,191
162,70
162,191
164,7
165,70
166,62
167,41
167,107
168,179
169,70
169,100
169,113
170,7
170,98
171,12
171,74
173,7
173,142
174,41
174,70
175,41
175,89
175,106
175,144
176,70
177,144
178,41
179,3
180,119
180,194
181,107
181,142
181,188
182,41
182,144
183,41
184,103
185,10
185,138
185,162
186,106
186,144
187,45
188,3
188,26
188,41
188,174
189,41
190,170
191,133
192,124
192,146
192,191
193,46
193,144
194,106
194,191
195,191
